Item,Translation,Context,Context translation
mind your own business,не лезь не в свое дело / занимайся своим делом,,
keep myself to myself,быть наедине с собой,,
otherwise,иначе,,
Make yourself at home!,чувствуй себя как дома,,
mess,беспорядок,,
to mess,возиться,,
reserved,сдержанный,,
find out,выяснить / понять / придумать,,
applicable,применимый,,
diverse,разнообразный,,
to leverage,использовать,,
leverage,система рычагов,,
nightmare,страшный сон,,
catfish,сом,,
alike,точно так же / одинаково,,
cosy,уютный,,
cosiness,уют,,
awareness,осведомленность / осознание,,
to be aware of, быть в курсе,,
comforting,утешительный,,
to tend to,склоняться к,,
to associate,ассоциировать,,
to be prone to,быть склонным к,,
to have a tendency to,иметь склонность к,,
intention,намерение,,
terminate,прекращать,,
approach,подход,,
tier,ярус,,
leave it as is,оставить как есть,,
diversity,разнообразие,,
regardless,не смотря на,,
resilient,устойчивый,,
dedicate,посвящать / выделять,dedicate yourselves to studies,посвящать себя учебе
dedicated,специальный / выделенный,,
nonetheless,тем не менее,,
desire,желание,,
desirable,желанный,,
destination,пункт назначения / направление,,
foodie,гурман,,
noodles,лапша,,
handy,удобный,,
compatible,совместимый / сочетаемый,,
provision, обеспечение,,
durability,долговечность,,
latency,задержка,,
scenery,пейзаж / декорации,,
landscape,пейзаж / ландшафт,,
entertainment,развлечения,,
criminal,уголовный,,
urban,городской,,
rural,деревенский,,
standard of living,уровень жизни,,
traffic jams ,пробки,,
job opportunity,вакансия,,
cost of living,стоимость жизни,,
can't stand it,терпеть не могу,,
curious,любопытный,,
ensure,гарантировать,,
insurance,страхование,,
insure,страховать / гарантировать,,
barn,сарай,,
distribute,распределять,,
seamlessly / smoothly,плавно,,
enforce,обеспечивать соблюдение,,
bear with me,потерпите меня,,
evenly,равномерно,,
commitment,обязательство,,
mature,созреть / зрелый,,
concentrate,сконцентрироваться,,
controversy,спор,,
controversial,спорный,,
argument,спор,,
supportive,поддерживающий,,
significant,значительный,,
adopt,усыновить / принимать / перенимать,,
retain,удерживать,,
eventually,в итоге / в конечном счете,,
consistent,последовательный,,
failover,отказоустойчивость,,
standby,резервный / запасной,,
proprietary,собственность,,
instantaneous,мгновенный,,
instant,мгновение / мгновенный,,
load off,снизить нагрузку / разгрузить,,
reduce,уменьшать / снижать,,
eviction,выселение / изгнание,,
wisdom,мудрость,,
nomads,кочевники,,
backpacker,пеший турист,,
to backpack,ходить в поход,,
adventurer,авантюрист / искатель приключений,,
to afford,предоставлять / иметь возможность / быть в состоянии сделать что-либо,,
local cuisine/people,местная кухня/люди,,
exciting,захватывающий / волнующий / возбуждающий,,
to put away some money,отложить немного денег,,
to go on a road trip,отправиться в путешествие,,
two night camping trip,двухдневный поход,,
camping tent,палатка,,
tent,палатка / навес,,
RV (Recreational vehicle),фургон,,
edge,край,,
on the edge,на краю,,
bicycle lane,велосипедная дорожка,,
backbone,хребет / позвоночник / основа,,
alias,псевдоним,,
free of charge,бесплатно,,
respond,реагировать,,
specify,указывать / уточнять,,
shrink,сокращаться / сжиматься,,
distinction,различие / отличие,,
explicitly,явно / недвусмысленно,,
to influence,влиять / оказывать влияние,,
to brand,брендировать / клеймить,,
to post ,опубликовать / отправлять по почте,,
sketch,эскиз / набросок,,
supply,поставлять / снабжать,,
more or less,более менее,,
recently / lately,недавно / в последнее время,,
insult,оскорблять / обижать,,
to run an errand,выполнить поручение,,
tie,галстук,,
to tie,связать / завязать,,
reliable,надежный / достоверный,,
take over,перенимать / вступать во владение,,
to tag,помечать / прикреплять ярлык,,
privacy,конфиденциальность / уединенность,,
to browse,просматривать / пролистывать,,
abundant,обильный,,
flexible,гибкий,,
flex,сгибать / гнуть,,
hood,капот / капюшон,,
enhancement,улучшение,,
properly,правильно,,
deserve,заслуживать / быть достойным,,
suspend,приостановить / приостанавливать,,
origin,происхождение / источник,,
consistency,последовательность / согласованность,,
a glance,(быстрый) взгляд / беглый взгляд,,
to glance,взглянуть / взглянуть мельком,,
demeanour,поведение / манера вести себя,,
manners / mannerisms,манеры,,
spend time on,тратить время на,,
come up to ,подойти к / зайти к,,
go out with ,пойти с / встречаться с,I can't go out with you tonight.,Я не смогу пойти с тобой сегодня на свидание.
appropriate,соответствующий,,
charitable,благотворительный,charitable foundation,благотворительный фонд
courteous,вежливый,,
competent,компетентный,,
run after,бежать за,,
sort of / kind of,"вроде, как бы, что-то вроде",,
prerequisite,предварительное условие,,
deny,отказываться от / отрицать,,
compliance,согласие / податливость,,
concurrent,одновременный,,
rapid,стремительный / быстрый,,
glacier,ледник,,
retrieve,извлекать / восстанавливать,,
sample,образец,,
mosque,мечеть,,
a departure lounge,зал вылета,,
pleasant,приятный,,
excellent,превосходно / превосходный,,
stale,несвежий / черствый,,
attend,посещать / присутствовать,,
maintain,поддерживать,,
transperancy,прозрачность,,
compatibility,совместимость / сочетаемость,,
crucial,ключевой / решающий,,
constraint,ограничение / принуждение / скованность,,
wellness,здоровье / благополучие,,
a balanced diet,сбалансированная диета,,
cut down on,сократить,to cut down on costs,сократить расходы
a sport-related activity,"деятельность, связанная со спортом",,
seduction,соблазнение / соблазн / совращение,,
dissolve,растворяться,,
to bail out,выручать / выручать из беды,,
to sort out ,разобраться / перебирать / рассортировать,,
remarkable,замечательный / выдающийся,,
astonishing,удивительный,,
amazing,изумительный / поразительный,,
mediocre,посредственный / заурядный / бесталанный (без таланта),,
to make a breakthrough ,совершить прорыв,,
to face challenges,столкнуться с проблемами,,
indeed,верно / в самом деле / действительно,,
familiar,привычный / близкий / хорошо знакомый,,
tough,жесткий / трудный / сложный,,
outlining,обрисовывая в общих чертах,,
substitute,заменять / подменивать / заменитель,,
occur,происходить / иметь место / встречаться,,
to beat ,бить,,
to beat addictions,победить зависимость,,
be willing to do,быть готовым сделать,,
constantly,постоянно,,
clutter,беспорядок / суматоха,,
at once ,однажды / сразу / разом,,
to curb ,сдерживать / обуздать,,
a relapse,рецедив / возврат болезни,,
a halt ,остановка / привал,,
assume,предполагать,,
up to you,вам решать,,
evolve,эволюционировать / развиваться,,
abuse,злоупотреблять / плохо обращаться / оскорблять,,
engage,привлекать / заниматься,,
engage with,взаимодействовать с,,
liniant,снисходительный,,
intercom,домофон / переговорное устройство,,
intercept,перехватывать,,
interception,перехват,,
infer, делать вывод / делать заключение,,
stigma,клеймо,,
insomnia,бессонница,,
check-up,проверка / осмотр / обследование / медосмотр,,
misconception,заблуждение,,
to deal with,иметь дело с,,
to check in ,зарегистрироваться / сдавать под расписку,,
check out,проверить / выехать из гостиницы,,
to seek,искать / стремиться,,
irritable,раздражительный / болезненно чувствительный,,
irritated with,раздраженный чем-либо,,
annoying,раздражающий / досадный,,
pale,бледный,,
mental disorder ,расстройство психики,,
stress tolerance,стрессоустойчивость,,
spike,шип / костыль / шпилька,,
decouple,отделить,,
couple,пара,,
persist,сопротивляться / сохраняться / упорствовать,,
retention,удержание,,
poll,опрос,,
threshold,порог / предел,,
exceed,превосходить / превышать,,
throughput,пропускная способность,,
batch,партия / группировать программы,,
consumer,потребитель,,
to refuse,отказать / отказываться,,
fan,поклонник / болельщик / вентилятор / веер,,
hose,шланг,,
firehose,пожарный шланг,,
revise,исправлять / пересматривать,,
embarrassment,смущение,,
a gesture,жест / мимика / телодвижение,,
to reveal ,раскрыть / вскрывать,,
to blink ,мигать / моргать,,
deceive,обманывать / вводить в заблуждение / нарушать верность,,
to stutter,заикаться,,
to stammer,запинаться,,
to indicate ,указывать,,
determine ,определять,,
expand,расширять / развивать,,
allege,утверждать,,
allegedly,якобы,,
cunning,хитрость / хитрый,,
mature,зрелый / созреть / взрослеть,,
permissible,допустимый / позволительный,,
justify,оправдывать,,
bucket list,"список того, что нужно сделать за жизнь",,
lively,оживленный,,
distant,далекий,,
crowded,переполненный / многолюдный,,
old-fashioned,старомодный,,
mysterious,таинственный,,
gorgeous,великолепный,,
dig deeper,копать глубже,,
convince,убеждать / уверять,,
consider,рассмотреть возможность / учитывать / рассматривать / считать,,
proceed,продолжать / приступать,,
assumption,предположение / допускать,,
caveat,предостережение,,
staycation,"отпуск проведенный в родной стране, а не за границей",,
hometown,родной город,,
resort,курорт / прибегнуть / обращаться за помощью,,
host,принимать гостей / хозяин,,
spectacular,изумительный / эффектный,,
to go sightseeing,осматривать достопримечательности,,
opt out,уклоняться,,
conscious,сознательный,,
harm,вред,,
threat,угроза,,
artificial,искусственный,,
similarly,по аналогии / подобным образом,,
interact,взаимодействовать,,
adjustment,корректирование / регулировка,,
manufacturer,производитель / изготовитель,,
inaction,бездействие,,
loss-making,убыточный,,
to suffer from,страдать от,,
aspire,стремиться,,
to differentiate,различать,,
distinguish,различать / отличать / выделить,,
to exploit,использовать в своих интересах / эксплуатировать,,
transparent,прозрачный,,
to benefit from,извлечь выгоду из,,
idle,праздный / холостой (ход),,
conscience,совесть,,
a clear conscience,чистая совесть,,
geather,собирать,,
feasible,достижимый,,
to outlaw,объявить вне закона,,
outlaw,вне закона / изгой,,
to withstand,противостоять / выдерживать / выстоять,,
bizarre,причудливый / странный,,
legislative,законодательный / законодательные органы,,
former,бывший / прежний,,
compel,принуждать / заставлять,,
violate,нарушать,,
vast,огромный / обширный,,
claim,требовать / претендовать / утверждать,,
sidewalk,тротуар,,
beside,рядом,,
validate,подтверждать,,
invalidate,аннулировать / делать недействительным,,
burnout,выгореть / выгорание,,
apathy,апатия,,
unwind,размотать / отдохнуть,,
overwhelmed,перегруженный / ошеломленный,,
drain,осушать / отток / водосток,,
stressed out,напряженный,,
to get stressed about ,напрягаться по поводу,,
to get distracted,отвлечься,,
a sense of purpose,целеустремленность,,
to feel restored,чувствовать себя восстановленным,,
to feel lethargic ,чувствовать себя вялым,,
intensifier,усилитель,,
fatigue,усталость / утомление,,
elsewhere (somewhere else),в другом месте,,
mansion,особняк,,
blanket,одеяло / покрывать одеялом,,
blanketed,покрытый одеялом,,
trudge,тащиться / длинный трудный путь,,
poke,тыкать /  совать / тычок,,
creepy,противный,,
behind,позади / сзади,,
spoil,портиться / портить / баловать,,
will,завещание / воля / твердое намерение,,
stubborn,упрямый,,
pick out,выбрать / выделить / выковыривать,,
pick up,подбирать / забрать / подцепить,,
declare,объявить / заявлять,,
urge,побуждать /  убеждать / настаивать на,,
cheer up,взбодриться / развеселить / развеселиться,,
cheer,радость,,
bow,лук (что бы стрелять) / поклон / бант,,
eagerly,с нетерпением,,
backache,боль в спине,,
stomachache,боли в животе,,
headache,головная боль,,
come across,встретить / натолкнуться,,
feel sick ,чувствовать себя больным,,
first aid,первая помощь,,
certain,определенный / уверенный / некоторый,,
enormous,громадный,,
counteract,противодействовать,,
whereupon,после чего,,
put up,мириться / терпеть,,
drop,капля,,
last straw,последняя капля,,
break up,расставаться / разойтись / разбивать,,
to keep fit,поддерживать форму,,
strengthen,укреплять / усиливать / крепить,,
to dust off,стряхнуть пыль (back to use again),,
to do the dishes / to wash the dishes,мыть посуду,,
wash up,мыть посуду / умываться,,
gain weight,набрать вес,,
treadmill / running track,беговая дорожка,,
farthest,самый дальний / дальний,,
pastime,времяпрепровождение,,
work out,упражняться / разработать,,
warm-up,разогревать / разминать,,
bench press,жим лежа,,
eye-opener,сенсационное сообщение,,
elaborate,детально разработанный / продуманный,,
scribble,каракули / неразборчивый почерк,,
tap into,подключиться к,,
prosperous,процветающий / зажиточный,,
elate,ликовать / поднимать настроение,,
intimidate,запугивать / устрашать,,
money laundering,отмывание денег,,
the impostor syndrome,синдром самозванца,,
fraud,мошенничество / афера,,
downplay,преуменьшать значение,,
to master,освоить / овладевать / владеть,to master a language,овладеть языком
to conduct,проводить / вести,to conduct a study,провести исследование
bilingual,двуязычный,,
outdated,устаревший,,
alternate,чередовать,,
benevolent,доброжелательный,,
setback,неудача,,
venture,рискнуть / осмелиться,,
bloom,цвести (о человеке),,
censor,подвергнуть цензуре / цензура,,
acquire,приобретать,,
buzz,гул / гудеть / жужжать,,
scrutinize,тщательно исследовать,,
envision,представить / рисовать в своем воображении,,
mug,кружка / рожа / морда,,
beer mug,пивная кружка,,
to blur,размыть / затуманить,,
heightened,повышенный,,
regain dignity,восстановить достоинство,,
acclaimed,известный / провозглашенный,,
scales,весы,,
jaw,челюсть,,
jawline,подбородок,,
graft,прививка / прививать,,
scar,шрам,,
buttock,ягодица,,
dimple,ямочка (на лице) / углубление,,
excess,избыток / избыточный,,
surgeon,врач хирург,,
impose (impose on),навязывать / навязаться,,
breed,порода / разводить / расплодить,,
conformity,соответствие / согласованность,,
pickles,соленья / маринованные огурцы,,
awkward,неуклюжий / неловкий / неудобный,,
attitude,отношение,,
generalize,обобщать,,
to laugh off,отшутиться,,
tell off,отчитать,,
offensive,оскорбительный / наступательный,,
vague,неопределенный / расплывчатый,to have vague memories of smth,иметь смутные воспоминания о
code of conduct,нормы поведения,,
conduct,поведение/ведение | проводить/вести,,
distorted,искаженный,,
distort,искажать / передергивать,,
eyewitness,очевидец,,
mishmash,мешанина / путаница,,
insinuate / hint,намекать,,
fictional,вымышленный / выдуманный,,
to water down ,разбавлять (сделать менее сильным / интенсивным),,
anxiety,беспокойство,,
self-esteem ,самооценка,,
itch,испытывать зуд / чесаться,,
sleep disorder,расстройство сна,,
FOMO (fear of missing out),страх пропустить что-то интересное,,
anxious,тревожный,,
consequence,последствие,,
leftovers,остатки / объедки,,
catchphrase,крылатая фраза,,
stock up on,запастись,,
edible,съедобный,,
single-use items,одноразовые предметы,,
on the flip side,с другой стороны,,
deforestation,вырубка леса,,
wastewater,сточные воды,,
wind turbines,ветряные турбины,,
cuddly toys,мягкие игрушки,,
robbery,ограбление,,
bargain,торг / сделка / торговаться,,
haggle,торговаться,,
to trick,обмануть,,
outlandish,диковинный,,
appliances,бытовая техника,,
enlarge,увеличить / укрупнять,,
recognition,признание / распознавание / опознавание,,
acknowledge,признавать / подтверждать,,
compel,заставить / принуждать,,
to be obsessed with,быть одержимым,,
obsession,одержимость / навязчивая идея,,
develop,развивать / разрабатывать,,
notorious,печально известный / пресловутый,,
to die out,вымирать,,
a handful of,горсть / пригоршня,a handful of languages,несколько языков
occasionally,изредка / иногда,,
endangered,находящихся под угрозой исчезновения,,
at the rate of,в размере,,
a heritage,наследие,a cultural heritage,культурное наследие
extinction,исчезновение / вымирание,a situation in which something no longer exists,
species,разновидность / вид / порода,,
harmful,вредный / пагубный,,
real estate,недвижимость,a real estate agent,агент по недвижимости
estate,имущество / поместье / имение,,
landlord,помещик / землевладелец / хозяин квартиры,,
tenant,арендатор / жилец,,
flatmate,сосед по квартире,,
renovate,ремонтировать / делать ремонт (в квартире) / обновлять,,
to move house,переезжать,,
to pay the rent,платить за аренду,,
rent out,сдать в аренду,,
rent,арендовать,,
inspiring,вдохновляющий,"fill (someone) with the ability to do or feel something, especially to do something creative;",
outdoors,на открытом воздухе,,
homey,домашний,comfortable and cosy,
dormitory / dorm,общежитие,,
haunt,преследовать / часто посещать,,
carefree,беззаботный,,
workaholic,трудоголик,,
productive,продуктивный,,
collaborative,совместный,,
collaborate,сотрудничать,,
apprenticeship,стажировка / ученичество,,
one-on-one meeting,встреча один на один,,
to feel valued,чувствовать себя ценным,,
envy,завидовать,,
span,охватывать / диапазон,,
survey,опрос,,
upkeep for the house,содержание дома,,
amateur,любитель / дилетант,,
oath,клятва / присяга,,
spectator,зритель,,
stamina,выносливость,,
substitute,заменять / замещать,,
compete,конкурировать / соревноваться,,
torch,факел,,
wise,мудрый,,
goodwill,доброжелательность,,
generosity,щедрость / великодушие,,
orphan,сирота,,
orphanage,приют для сирот,,
refuge,убежище,,
implore,умолять,,
nonprofit organization,некоммерческая организация,,
run out of,исчерпать,,
consequences,последствия,,
be compatible,быть совместимым,,
to bring someone up to speed,ввести кого-либо в курс дела,,
cash machine,банкомат,,
note,примечание / заметка / банкнота,,
borrow,занимать / заимствовать у кого-либо,to ask for the temporary use of money on the condition of repayment and at a set rate of interest,
cashier,кассир,,
lend,одалживать / давать в займы,to give the temporary use of money on the condition of repayment and at a set rate of interest,
vulnerability,уязвимость,,
vulnerable,уязвимый,,
drawbacks,недостатки,,
selfish,эгоистичный,,
myths busters,разрушители мифов,,
narrative,повествование / рассказ,,
embody,воплощать,,
problematic,проблемный,,
fictitious,фиктивный,,
underlying,лежащий в основе,,
underline,подчеркнуть,,
superstition,суеверие,,
to yawn,зевать,,
persuade,убеждать / уговаривать,,
boost,способствовать росту / форсировать / подпихивать,,
interfere,вмешиваться / мешать,,
perceive,воспринимать,,
dictate,диктовать,,
pretty much,почти / в достаточной степени,,
relevancy,релевантность / уместность,,
hereditary,наследственный / потомственный,,
Her Majesty/Her Royal Highness,Ее Величество / Ее Королевское Высочество,,
law-abiding,законопослушный,,
spill,проливать / разливать,,
untangle,распутывать,,
tangled,запутанный,,
sigh,вздох / вздыхать,,
propensity,склонность,,
rein in,держать в узде,,
harness,обуздать,,
genuinely,искренне,,
sidekick,приятель,,
villain,злодей,,
battle,сражение / бой / боевой,,
revenge,месть / мстить / реванш,,
ammunition,боеприпасы / патроны /  аммуниция,,
nerd,зануда / умних / лох,,
wisecrack,остроумие / острить,,
indestructible,нерушимый,,
rogue,негодяй / жулик / мошенник,,
genre [ˈZHänrə],жанр,,
rhythm,ритм,,
backing singer,бэк-вокалист,,
cognitive,познавательный,,
appointment,встреча,,
wooing,ухаживание,,
scammer,мошенник,,
clue,зацепка / улика,,
handcuffs,наручники,,
bliss,блаженство,,
fake,подделка / фальшивка,,
dazzling,ослепительный,,
arrogant,высокомерный,,
nasty,противный / неприятный,,
cruel,жестокий,,
quick-tempered,вспыльчивый,,
persistent,настойчивый,,
engage,привлекать,,
generous,щедрый,,
purposeful,целеустремленный,,
assertive,напористый / чрезмерно настойчивый,,
bandwidth,пропускная способность,,
alumnus,выпускник,,
gifted,одаренный,,
organized,организованный,,
overactive,сверхактивный,,
goofy,бестолковый,,
sociable,общительный,,
a class reunion,встреча выпускников,,
to skip school/class,пропускать школу/уроки,,
boast,хвастаться,,
wagering / betting,делать ставки,,
wager / stake,ставка,,
trigger,курок / триггер,,
reputable,уважаемый / достойный уважения,,
unquestionably,несомненно,,
an expert bettor,эксперт по ставкам,,
integrity,целостность / честность,,
reconciliation,примирение,His reconciliation with your uncle,Его примирение с твоим дядей
embrace,объятия,,
embracing,охватывающий / объятия,,
remorse,раскаяние / угрызения совести,,
aggrieved,обиженный,,
authentic,аутентичный / подлинный,,
submissive,покорный,,
an offensive gesture,оскорбительный жест,,
curious glances,любопытные взгляды,,
inevitable,неизбежный,,
trivial,тривиальный / обыденный,,
bawl,реветь / орать,,
threaten,угрожать,,
canvas,холст / полотно,,
palette,палитра,,
sketch,эскиз,,
shoot off,отстреливать,,
rampage,буйство / неистовствовать / быть вне себя от ярости,,
easy access ,легкий доступ,,
massacre,резня / бойня / избиение,,
restrain,сдерживать,,
loaded,заряженный (про оружие),,
mandatory,обязательный,,
arms race ,гонка вооружений,,
assault,атаковать / штурмовой / штурмовать,,
indulge,потакать,,
indulgent,снисходительный,,
wrinkly,морщинистый,,
contrary,вопреки,contrary to your opinion / contrary to the stereotype,
reluctant,вынужденный,they are reluctant to help,они не горят желаением помогать.
restrict,ограничивать,to restrict someone's freedom,
contribute,способствовать / делать вклад,to contribute a lot to the discussion,активно способствовать дискуссии
,,to contribute to the relationship,вкладываться в отношения
naughty,непослушный,,
harbour,порт / гавань,,
carriage,вагон,,
crossing,переправа / переезд по воде,The passengers were seasick during the rough crossing,Пассажиров укачало во время тяжелого перехода
deck,палуба / колода,go out on a deck,выйти на палубу
tyre/tire,шина,flat tyre / puncture the tire,
fasten seatbelt,пристегните ремни,,
jetlag,расстройство суточного биоритма в связи с дальним перелетом,,
pour,налить,"Be careful not to pour too much, or it'll spill.","Будьте осторожны, не наливайте слишком много, иначе оно прольется."
pouring with rain,проливной дождь,We couldn't go out because it was pouring with rain.,
take-off / landing,взлет / посадка,,
overtake,обогнать / догнать,to overtake a car,
tight bend,крутой изгиб,"The road took a tight bend, forcing the driver to slow down.","Дорога сделала крутой поворот, и водителю пришлось сбросить скорость."
bumpy,бугристый / неровный,bumpy road / bumpy handwriting,бугристая дорога / неровный почерк
slippery,скользкий,The path was slippery after the rain.,
dreadful,ужасный,The news was dreadful,
travel light,путешествовать налегке,,
rough,"грубый, бурный, шероховатый",rough sea,море с сильным волнением
travel by coach,путешествовать на автобусе (пригородный автобус),,
jitterbug,паникер,,
riddle,загадка,,
plug,затыкать / вставлять,She searched for a free socket to plug in her laptop at the crowded cafe.,"Она искала свободную розетку, чтобы подключить свой ноутбук в переполненном кафе."
socket,розетка / разъем,check everything is plugged in to the correct socket ,
external hard drive,внешний жесткий диск,,
blank,пустой / чистый,"empty, without an image / text",
straightforward,простой / прямой,Navigator make getting around really straightforward,Навигатор делает передвижение действительно простым
arrange,договариваться,,
flu,грипп,She caught the flu and had to stay home,
an allergy to,аллергия на,,
an allergic reaction,аллергическая реакция,She experienced an allergic reaction after eating shellfish.,У нее возникла аллергическая реакция после употребления моллюсков.
toothache,зубная боль,,
break a bone,сломать кость,He fell off his bike and broke a collarbone.,Он упал с велосипеда и сломал ключицу.
get a frostbite / sunburn / burn,получить обморожение / солнечный ожог / ожог,,
get wounded,получить ранение,She got wounded during the battle but continued to fight bravely.,"В бою она была ранена, но продолжала мужественно сражаться."
bruise,синяк,get bruised ,получить синяки
swollen,вздутый / набухший,Her ankle was swollen after spraining it during the game.,
sprain an ankle,вывихнуть лодыжку,Her ankle was swollen after spraining it during the game.,
runny nose,насморк,,
feel dizzy,чувствовать головокружение,She stood up too quickly and began to feel dizzy.,"Она встала слишком быстро, и у нее закружилась голова."
lose consciousness / faint,потерять сознание,,
unconscious,бессознательный (без сознания),the man lies unconscious,человек лежит без сознания
cardiopulmonary resuscitation (CPR),сердечно-легочная реанимация (непрямой массаж сердца и искуственное дыхание),,
have a cough,кашлять,He couldn't sleep because of a nasty cough,Он не мог спать из-за противного кашля.
throw up / puke,тошнить / рвать / блевать,He felt sick and suddenly had to puke.,"Ему стало плохо, и его внезапно стошнило."
take painkillers,принимать обезболивающие,,
drink fluids,пить жидкости,,
put on bandage / plaster,наложить повязку / гипс,,
put on stitches,наложить швы,,
heal / mend,исцелиться,Time and rest will help heal the wound.,Время и отдых помогут залечить рану.
blister,волдырь,,
itch,зуд,"After rolling in the grass, his skin began to itch","После того, как он повалялся в траве, у него начала чесаться кожа."
rash,сыпь,,
hardly,едва ли,,
sting,жало / ужалить,sting on the arm,
get stung by a bee,быть ужаленным пчелой,,
crash into a car / tree,врезаться в машину / дерево,,
slip on wet floor / banana peel,поскользнуться на мокром полу / банановой кожуре,,
trip over someone’s leg / wire,споткнуться о чью-то ногу / провод,,
ladder,лестница,fall off a ladder,упасть с лестницы
resign,подать в отставку,,
call a ceasefire,объявить о прекращении огня,,
go bankrupt,обанкротиться,,
action / share,акция (компании),share price,цена акции
impediment,препятствие,,
claim,требовать / претендовать / утверждать,,
accuse,обвинять,,
admit,признавать,,
fed up with,сыт по горло,,
tiled floor,кафельный пол,,
tutor,репетитор,,
medieval,средневековый,,
evenly,равномерно,,
thumbnail,миниатюра,,
vault,сейф,,
fat loss activity,активность по снижению жира,,
deliberate,осознанный / преднамеренный,,
hence,следовательно,,
warehouse,склад,,
brake,тормоз,,
break,перерыв / сломать,,
bribery,взяточничество,,
circumstances,обстоятельства,under the circumstances,при данных обстоятельствах
conscientious,добросовестный / сознательный,,
conscious,сознательный,,
clash,столкновение / конфликт,,
flaw,недостаток / изъян,,
flawed,несовершенный,"flawed, but still top tier","несовершенный, но все еще высший класс"
flawless,безупречный,,
laid-back,вальяжный / непринужденный,laid-back atmosphere,непринужденная атмосфера
indifferent,безразличный,,
contemporary,современный,contemporary art,современное искусство
servant,слуга,faithful servant,верный слуга
raw data,необработанные данные,,
confined = limited,ограниченный,,
